casa,data,temperatura_appartamento,stato_luce1,stato_luce2,stato_luce3,energia_consumata_giornaliera_appartamento,potenza_istantanea_consumata_appartamento,guasto
casa1,202603230000,20.3,1,0,0,6,78,
casa1,202603230005,20.2,1,0,0,14,98,
casa1,202603230010,20.2,0,0,0,34,237,
casa1,202603230015,19.6,1,0,1,43,103,
casa1,202603230020,19.8,1,1,1,47,54,
casa1,202603230025,19.7,1,0,0,66,233,
casa1,202603230030,19.2,1,0,0,84,214,
casa1,202603230035,18.8,1,1,0,97,156,
casa1,202603230040,18.4,1,0,1,114,196,
casa1,202603230045,17.9,1,1,0,121,86,
casa1,202603230050,17.6,0,0,0,128,88,
casa1,202603230055,17.7,1,1,0,141,154,
casa1,202603230100,17.2,1,0,1,160,234,
casa1,202603230105,16.4,1,1,0,177,195,
casa1,202603230110,15.7,1,1,0,192,187,
casa1,202603230115,15.8,1,0,1,204,136,
casa1,202603230120,15.9,1,1,0,209,69,
casa1,202603230125,16.0,1,0,0,218,107,
casa1,202603230130,15.0,1,0,0,236,208,
casa1,202603230135,15.3,1,0,1,248,145,
casa1,202603230140,15.5,1,0,1,268,249,
casa1,202603230145,14.7,0,0,0,286,215,
casa1,202603230150,14.6,1,0,1,291,58,
casa1,202603230155,13.8,1,0,0,307,188,
casa1,202603230200,12.8,0,1,0,327,246,
casa1,202603230205,12.0,0,1,1,335,89,
casa1,202603230210,-999.0,-999,-999,-999,354,233,"luce2, luce3, temperatura, luce1"
casa1,202603230215,11.4,0,0,0,364,112,
casa1,202603230220,10.8,1,1,0,371,84,
casa1,202603230225,10.8,1,1,0,389,221,
casa1,202603230230,10.9,1,1,0,402,155,
casa1,202603230235,11.2,0,0,0,415,162,
casa1,202603230240,10.3,0,0,1,432,199,
casa1,202603230245,9.7,1,0,1,438,71,
casa1,202603230250,9.4,0,1,0,458,243,
casa1,202603230255,9.3,1,0,0,471,153,
casa1,202603230300,8.7,1,0,1,474,33,
casa1,202603230305,7.9,0,0,0,490,202,
casa1,202603230310,8.3,1,1,1,507,194,
casa1,202603230315,8.5,1,0,0,524,212,
casa1,202603230320,8.3,1,1,0,533,108,
casa1,202603230325,8.5,1,1,0,549,194,
casa1,202603230330,8.6,1,1,1,551,22,
casa1,202603230335,8.4,1,1,0,563,143,
casa1,202603230340,8.3,0,0,0,572,108,
casa1,202603230345,8.0,0,0,1,585,155,
casa1,202603230350,7.1,1,1,0,604,232,
casa1,202603230355,7.0,0,1,0,612,91,
casa1,202603230400,6.5,0,0,1,618,71,
casa1,202603230405,6.4,0,0,0,627,105,
casa1,202603230410,6.2,0,0,1,640,165,
casa1,202603230415,6.2,1,0,0,643,33,
casa1,202603230420,5.9,1,0,1,659,187,
casa1,202603230425,5.8,0,1,1,662,34,
casa1,202603230430,6.2,1,1,1,670,102,
casa1,202603230435,5.7,0,1,0,674,41,
casa1,202603230440,4.9,0,1,0,682,98,
casa1,202603230445,4.7,0,0,1,690,105,
casa1,202603230450,5.1,0,1,0,707,196,
casa1,202603230455,4.4,0,1,0,726,229,
casa1,202603230500,3.6,1,1,1,739,157,
casa1,202603230505,3.7,1,0,0,742,31,
casa1,202603230510,3.1,1,0,0,759,213,
casa1,202603230515,2.4,0,1,0,778,228,
casa1,202603230520,1.6,1,1,0,791,149,
casa1,202603230525,1.0,1,0,1,803,151,
casa1,202603230530,1.1,0,1,1,823,232,
casa1,202603230535,0.8,1,1,0,835,153,
casa1,202603230540,0.5,0,0,1,842,77,
casa1,202603230545,-0.2,0,1,1,858,192,
casa1,202603230550,-0.5,0,1,1,860,27,
casa1,202603230555,-0.4,0,0,1,880,241,
casa1,202603230600,-0.7,1,1,1,882,22,
casa1,202603230605,-0.5,1,0,0,893,127,
casa1,202603230610,0.2,0,1,0,908,180,
casa1,202603230615,0.6,1,0,1,909,20,
casa1,202603230620,1.1,1,0,1,917,91,
casa1,202603230625,1.1,0,1,1,921,55,
casa1,202603230630,1.4,1,0,0,939,217,
casa1,202603230635,1.2,1,0,0,952,150,
casa1,202603230640,1.1,0,1,0,958,68,
casa1,202603230645,1.5,1,0,1,976,219,
casa1,202603230650,2.0,1,1,0,991,176,
casa1,202603230655,2.6,1,0,0,994,43,
casa1,202603230700,2.4,0,0,1,1013,224,
casa1,202603230705,2.7,1,1,0,1019,76,
casa1,202603230710,2.4,1,1,1,1025,74,
casa1,202603230715,3.2,0,1,0,1034,100,
casa1,202603230720,4.1,0,0,0,1047,163,
casa1,202603230725,5.1,0,1,0,1054,85,
casa1,202603230730,5.7,1,0,1,1056,20,
casa1,202603230735,6.4,1,1,0,1071,186,
casa1,202603230740,6.2,0,1,0,1079,88,
casa1,202603230745,6.2,0,0,1,1082,42,
casa1,202603230750,7.2,1,1,1,1094,139,
casa1,202603230755,7.1,0,0,0,1106,142,
casa1,202603230800,7.4,1,1,1,1109,42,
casa1,202603230805,8.4,0,1,1,1117,91,
casa1,202603230810,8.7,1,0,1,1118,20,
casa1,202603230815,9.0,0,0,1,1121,31,
casa1,202603230820,9.8,0,1,1,1128,85,
casa1,202603230825,9.9,1,1,1,1135,84,
casa1,202603230830,10.1,0,1,1,1150,181,
casa1,202603230835,10.0,1,1,0,1170,241,
casa1,202603230840,10.4,0,0,1,1183,153,
casa1,202603230845,10.8,0,0,0,1198,186,
casa1,202603230850,11.8,1,1,0,1213,174,
casa1,202603230855,12.0,0,1,0,1221,99,
casa1,202603230900,11.9,1,1,0,1234,151,
casa1,202603230905,11.9,1,1,1,1238,48,
casa1,202603230910,11.7,1,1,1,1241,33,
casa1,202603230915,11.6,0,0,1,1256,184,
casa1,202603230920,11.4,0,1,1,1275,230,
casa1,202603230925,11.8,1,0,1,1280,65,
casa1,202603230930,12.3,1,1,1,1284,38,
casa1,202603230935,12.6,0,0,0,1293,107,
casa1,202603230940,13.6,0,0,1,1302,110,
casa1,202603230945,13.9,0,1,-999,1306,48,luce3
casa1,202603230950,14.6,0,0,1,1323,203,
casa1,202603230955,15.3,1,1,0,1326,44,
casa1,202603231000,15.5,1,1,1,1328,21,
casa1,202603231005,15.4,1,0,1,1341,149,
casa1,202603231010,16.1,0,0,0,1345,58,
casa1,202603231015,16.8,1,0,0,1351,67,
casa1,202603231020,17.4,0,0,0,1353,22,
casa1,202603231025,17.5,0,0,1,1357,55,
casa1,202603231030,17.6,1,0,0,1377,231,
casa1,202603231035,17.3,1,1,0,1386,117,
casa1,202603231040,17.2,1,0,1,1388,25,
casa1,202603231045,16.9,0,0,0,1396,97,
casa1,202603231050,17.1,0,0,1,1417,244,
casa1,202603231055,16.7,0,1,1,1435,215,
casa1,202603231100,16.6,0,0,0,1443,98,
casa1,202603231105,16.7,-999,0,1,1447,49,luce1
casa1,202603231110,16.5,1,0,1,1456,113,
casa1,202603231115,17.1,0,1,1,1470,166,
casa1,202603231120,17.5,1,1,1,1479,107,
casa1,202603231125,17.3,1,1,0,1488,102,
casa1,202603231130,17.2,1,0,0,1492,56,
casa1,202603231135,17.3,0,1,0,1512,239,
casa1,202603231140,17.1,1,1,0,1515,34,
casa1,202603231145,18.1,0,1,1,1536,247,
casa1,202603231150,19.0,0,1,1,1548,149,
casa1,202603231155,18.7,1,0,0,1565,205,
casa1,202603231200,18.5,1,1,1,1585,237,
casa1,202603231205,18.1,1,0,0,1591,74,
casa1,202603231210,17.8,0,1,0,1609,214,
casa1,202603231215,17.9,0,0,1,1615,72,
casa1,202603231220,17.7,1,0,0,1627,150,
casa1,202603231225,17.4,1,0,1,1632,59,
casa1,202603231230,17.4,1,0,1,1640,97,
casa1,202603231235,17.6,0,0,1,1645,54,
casa1,202603231240,18.2,0,0,1,1651,76,
casa1,202603231245,18.3,0,1,0,1669,208,
casa1,202603231250,19.1,0,1,0,1671,31,
casa1,202603231255,18.7,0,1,0,1691,235,
casa1,202603231300,18.8,1,1,1,1695,50,
casa1,202603231305,19.2,0,0,0,1710,180,
casa1,202603231310,19.5,1,1,0,1724,170,
casa1,202603231315,19.6,1,1,1,1726,29,
casa1,202603231320,19.3,0,1,0,1729,25,
casa1,202603231325,18.9,0,1,1,1736,87,
casa1,202603231330,19.7,0,0,0,1747,135,
casa1,202603231335,20.0,0,0,0,1755,93,
casa1,202603231340,20.9,1,1,1,1775,240,
casa1,202603231345,20.8,1,1,0,1780,61,
casa1,202603231350,20.7,0,1,1,1797,207,
casa1,202603231355,21.6,1,1,1,1818,245,
casa1,202603231400,22.0,1,0,0,1830,154,
casa1,202603231405,22.7,0,1,0,1832,25,
casa1,202603231410,23.3,0,0,0,1848,186,
casa1,202603231415,23.0,0,1,0,1861,153,
casa1,202603231420,23.7,1,0,1,1866,62,
casa1,202603231425,24.4,1,1,0,1877,137,
casa1,202603231430,24.1,0,1,0,1889,140,
casa1,202603231435,24.1,1,1,1,1896,79,
casa1,202603231440,24.4,-999,1,-999,1905,116,"luce1, luce3"
casa1,202603231445,24.3,0,1,1,1909,47,
casa1,202603231450,24.4,0,0,0,1918,102,
casa1,202603231455,24.0,0,1,0,1937,229,
casa1,202603231500,24.5,1,0,0,1942,63,
casa1,202603231505,25.0,1,0,0,1950,93,
casa1,202603231510,24.7,0,1,1,1959,106,
casa1,202603231515,24.5,0,0,1,1972,162,
casa1,202603231520,25.1,0,0,0,1986,166,
casa1,202603231525,25.0,1,1,0,2006,239,
casa1,202603231530,24.8,1,1,0,2021,187,
casa1,202603231535,25.1,0,0,1,2037,182,
casa1,202603231540,25.2,1,1,0,2051,175,
casa1,202603231545,25.5,0,0,1,2066,173,
casa1,202603231550,26.5,1,0,0,2071,68,
casa1,202603231555,26.2,0,1,0,2087,190,
casa1,202603231600,27.0,0,0,0,2107,240,
casa1,202603231605,27.4,1,1,0,2111,47,
casa1,202603231610,27.1,1,1,0,2118,86,
casa1,202603231615,27.3,1,1,1,2122,41,
casa1,202603231620,27.3,0,1,1,2131,111,
casa1,202603231625,27.8,1,0,1,2150,233,
casa1,202603231630,28.7,0,0,1,2164,161,
casa1,202603231635,28.5,1,0,0,2174,130,
casa1,202603231640,29.4,0,0,0,2193,219,
casa1,202603231645,29.5,0,0,0,2199,81,
casa1,202603231650,29.8,1,1,0,2211,141,
casa1,202603231655,30.7,0,1,0,2227,191,
casa1,202603231700,31.3,0,1,1,2231,48,
casa1,202603231705,31.3,-999,-999,-999,2237,74,"luce1, luce3, luce2"
casa1,202603231710,31.8,1,0,1,2256,229,
casa1,202603231715,32.1,0,0,1,2263,74,
casa1,202603231720,33.0,1,0,0,2281,227,
casa1,202603231725,33.9,0,1,1,2293,143,
casa1,202603231730,33.9,0,0,1,2302,101,
casa1,202603231735,34.5,0,1,1,2316,173,
casa1,202603231740,34.6,1,1,1,2330,166,
casa1,202603231745,34.4,1,1,1,2346,187,
casa1,202603231750,35.0,0,0,1,2358,154,
casa1,202603231755,34.6,1,0,1,2369,129,
casa1,202603231800,34.4,0,1,0,2375,71,
casa1,202603231805,34.8,0,0,1,2381,72,
casa1,202603231810,34.7,1,0,0,2395,166,
casa1,202603231815,35.7,1,0,1,2400,66,
casa1,202603231820,36.6,1,0,1,2407,77,
casa1,202603231825,37.5,1,1,1,2414,85,
casa1,202603231830,38.1,0,0,1,2433,228,
casa1,202603231835,37.9,1,1,0,2444,128,
casa1,202603231840,37.7,0,1,0,2458,169,
casa1,202603231845,38.1,0,0,0,2473,178,
casa1,202603231850,38.7,1,1,0,2483,122,
casa1,202603231855,38.7,0,0,1,2501,216,
casa1,202603231900,39.3,0,1,0,2510,108,
casa1,202603231905,39.8,0,1,0,2530,242,
casa1,202603231910,39.4,0,0,0,2532,26,
casa1,202603231915,39.6,0,1,1,2539,83,
casa1,202603231920,40.0,0,1,0,2541,27,
casa1,202603231925,40.0,0,1,0,2551,117,
casa1,202603231930,40.0,0,1,1,2568,206,
casa1,202603231935,39.8,1,1,0,2574,74,
casa1,202603231940,40.0,0,0,1,2586,146,
casa1,202603231945,40.0,0,1,1,2590,44,
casa1,202603231950,40.0,0,1,0,2605,178,
casa1,202603231955,39.8,1,1,0,2614,111,
casa1,202603232000,39.7,0,0,0,2635,248,
casa1,202603232005,40.0,1,0,1,2640,63,
casa1,202603232010,40.0,0,0,1,2648,100,
casa1,202603232015,40.0,0,1,0,2659,126,
casa1,202603232020,39.8,0,0,1,2680,249,
casa1,202603232025,40.0,0,1,0,2692,151,
casa1,202603232030,40.0,0,1,0,2697,53,
casa1,202603232035,40.0,1,1,1,2714,212,
casa1,202603232040,40.0,0,1,1,2717,30,
casa1,202603232045,40.0,1,1,1,2730,158,
casa1,202603232050,40.0,1,1,1,2750,241,
casa1,202603232055,39.9,1,1,0,2764,165,
casa1,202603232100,39.1,0,1,0,2767,34,
casa1,202603232105,38.9,0,1,0,2785,222,
casa1,202603232110,38.9,0,0,1,2789,47,
casa1,202603232115,-999.0,0,-999,-999,2794,55,"luce3, luce2, temperatura"
casa1,202603232120,38.3,0,0,0,2807,158,
casa1,202603232125,38.4,0,1,0,2826,235,
casa1,202603232130,38.0,1,1,1,2832,71,
casa1,202603232135,37.3,1,1,1,2834,21,
casa1,202603232140,37.2,0,0,1,2850,194,
casa1,202603232145,37.3,1,1,1,2855,54,
casa1,202603232150,37.0,1,0,0,2861,75,
casa1,202603232155,36.8,0,1,1,2863,22,
casa1,202603232200,36.0,1,1,0,2871,103,
casa1,202603232205,35.3,1,0,1,2888,204,
casa1,202603232210,34.9,1,1,0,2892,42,
casa1,202603232215,34.1,0,0,1,2903,127,
casa1,202603232220,33.4,1,0,0,2921,219,
casa1,202603232225,33.7,1,0,1,2923,26,
casa1,202603232230,34.0,0,1,0,2943,237,
casa1,202603232235,33.9,0,0,0,2947,51,
casa1,202603232240,34.0,0,1,1,2961,164,
casa1,202603232245,33.6,0,1,1,2980,232,
casa1,202603232250,33.8,0,1,1,2993,155,
casa1,202603232255,33.8,1,1,1,3001,98,
casa1,202603232300,33.0,0,1,0,3005,53,
casa1,202603232305,32.3,1,1,1,3011,65,
casa1,202603232310,32.6,0,0,0,3015,48,
casa1,202603232315,32.8,1,0,1,3031,193,
casa1,202603232320,32.8,1,1,1,3049,213,
casa1,202603232325,32.7,1,1,0,3067,224,
casa1,202603232330,32.5,1,1,1,3087,239,
casa1,202603232335,32.3,1,1,0,3095,93,
casa1,202603232340,32.0,0,1,1,3100,59,
casa1,202603232345,31.9,1,1,1,3106,69,
casa1,202603232350,31.2,1,-999,0,3114,104,luce2
casa1,202603232355,30.4,0,1,1,3120,71,
casa1,202603240000,29.8,1,0,0,20,249,
casa1,202603240005,29.8,1,0,0,35,173,
casa1,202603240010,30.1,1,0,1,46,138,
casa1,202603240015,29.6,0,0,0,55,110,
casa1,202603240020,29.8,0,0,1,70,170,
casa1,202603240025,29.1,1,1,1,78,107,
casa1,202603240030,28.9,1,1,1,85,83,
casa1,202603240035,28.1,0,1,0,98,152,
casa1,202603240040,28.2,1,1,1,113,177,
casa1,202603240045,27.8,1,1,0,132,226,
casa1,202603240050,27.9,0,0,0,136,48,
casa1,202603240055,27.0,0,1,1,140,53,
casa1,202603240100,27.3,0,1,1,157,209,
casa1,202603240105,27.6,1,1,0,176,223,
casa1,202603240110,28.0,1,1,0,193,201,
casa1,202603240115,27.5,1,0,0,210,208,
casa1,202603240120,26.9,1,1,1,226,188,
casa1,202603240125,26.2,1,1,0,238,152,
casa1,202603240130,25.9,0,0,0,248,114,
casa1,202603240135,25.7,0,1,0,250,27,
casa1,202603240140,-999.0,1,-999,-999,259,102,"luce2, luce3, temperatura"
casa1,202603240145,25.9,0,1,0,279,246,
casa1,202603240150,25.7,0,0,1,284,57,
casa1,202603240155,25.2,1,1,1,295,135,
casa1,202603240200,25.4,0,0,0,304,104,
casa1,202603240205,25.2,0,0,0,312,93,
casa1,202603240210,25.1,1,1,0,325,159,
casa1,202603240215,24.2,1,1,1,336,138,
casa1,202603240220,23.8,1,1,0,347,128,
casa1,202603240225,23.3,0,1,0,363,196,
casa1,202603240230,22.7,0,1,0,369,70,
casa1,202603240235,22.4,1,1,0,376,86,
casa1,202603240240,22.1,0,1,0,386,115,
casa1,202603240245,21.7,0,1,0,406,237,
casa1,202603240250,21.3,0,1,0,409,45,
casa1,202603240255,21.6,0,0,0,417,86,
casa1,202603240300,21.4,1,1,0,428,132,
casa1,202603240305,21.1,0,0,1,435,91,
casa1,202603240310,20.3,1,1,1,452,205,
casa1,202603240315,20.2,1,0,1,463,133,
casa1,202603240320,19.5,-999,0,-999,478,178,"luce1, luce3"
casa1,202603240325,18.7,0,1,0,486,90,
casa1,202603240330,17.9,0,0,0,491,64,
casa1,202603240335,17.7,0,0,1,505,164,
casa1,202603240340,17.7,0,1,1,514,113,
casa1,202603240345,16.9,1,0,0,517,40,
casa1,202603240350,17.2,0,0,0,535,216,
casa1,202603240355,17.5,0,0,1,551,191,
casa1,202603240400,17.5,1,0,1,569,207,
casa1,202603240405,17.5,0,1,1,577,101,
casa1,202603240410,17.5,0,0,1,596,228,
casa1,202603240415,17.5,1,1,1,598,26,
casa1,202603240420,17.2,1,0,1,611,152,
casa1,202603240425,17.3,0,0,1,620,110,
casa1,202603240430,16.7,1,0,0,630,123,
casa1,202603240435,16.8,1,0,0,635,55,
casa1,202603240440,16.6,0,0,0,652,212,
casa1,202603240445,17.0,0,1,0,664,135,
casa1,202603240450,17.2,1,1,0,673,114,
casa1,202603240455,17.6,1,0,1,694,244,
casa1,202603240500,17.6,0,0,1,710,203,
casa1,202603240505,16.9,0,1,1,719,102,
casa1,202603240510,16.0,0,0,0,730,132,
casa1,202603240515,15.7,1,0,1,750,238,
casa1,202603240520,15.7,1,0,0,767,204,
casa1,202603240525,15.2,1,1,0,776,114,
casa1,202603240530,14.5,0,0,0,791,171,
casa1,202603240535,13.9,0,0,1,806,180,
casa1,202603240540,13.6,1,0,0,812,78,
casa1,202603240545,12.8,0,0,0,830,212,
casa1,202603240550,12.4,0,0,1,834,56,
casa1,202603240555,11.7,1,0,1,849,181,
casa1,202603240600,-999.0,-999,0,-999,856,76,"temperatura, luce3, luce1"
casa1,202603240605,13.0,1,0,1,867,130,
casa1,202603240610,13.2,1,1,0,885,220,
casa1,202603240615,13.4,1,0,0,887,26,
casa1,202603240620,14.3,0,0,1,895,99,
casa1,202603240625,14.4,0,1,1,909,169,
casa1,202603240630,14.8,0,0,0,925,184,
casa1,202603240635,14.5,0,1,0,930,68,
casa1,202603240640,14.4,1,0,0,937,76,
casa1,202603240645,14.3,0,1,0,939,25,
casa1,202603240650,14.8,1,1,0,959,244,
casa1,202603240655,15.7,1,0,1,979,239,
casa1,202603240700,16.2,1,0,1,985,65,
casa1,202603240705,15.9,1,0,1,992,91,
casa1,202603240710,15.8,1,0,1,1007,173,
casa1,202603240715,-999.0,-999,1,-999,1025,222,"luce1, luce3, temperatura"
casa1,202603240720,16.1,1,0,0,1046,245,
casa1,202603240725,16.7,1,0,0,1056,131,
casa1,202603240730,16.9,0,0,1,1064,88,
casa1,202603240735,17.3,0,1,0,1071,91,
casa1,202603240740,18.2,1,1,1,1083,135,
casa1,202603240745,17.9,0,1,1,1095,144,
casa1,202603240750,17.7,1,0,0,1099,55,
casa1,202603240755,17.6,1,0,0,1120,246,
casa1,202603240800,17.4,1,1,0,1136,196,
casa1,202603240805,17.5,0,1,0,1141,62,
casa1,202603240810,18.2,0,1,0,1156,174,
casa1,202603240815,19.0,1,1,1,1170,174,
casa1,202603240820,19.4,1,0,1,1183,151,
casa1,202603240825,19.5,0,1,1,1195,145,
casa1,202603240830,19.7,0,1,0,1204,110,
casa1,202603240835,19.3,0,0,0,1211,87,
casa1,202603240840,20.1,0,1,0,1225,168,
casa1,202603240845,20.1,1,1,0,1243,208,
casa1,202603240850,20.7,1,0,1,1256,163,
casa1,202603240855,21.6,1,0,1,1262,67,
casa1,202603240900,21.8,0,0,1,1268,80,
casa1,202603240905,21.7,1,0,1,1271,26,
casa1,202603240910,22.5,1,0,1,1283,150,
casa1,202603240915,23.0,1,1,0,1294,132,
casa1,202603240920,23.5,1,0,0,1296,26,
casa1,202603240925,23.8,0,1,0,1299,38,
casa1,202603240930,24.3,0,0,0,1310,126,
casa1,202603240935,23.9,0,0,1,1330,236,
casa1,202603240940,23.7,0,0,1,1348,226,
casa1,202603240945,23.4,1,0,1,1364,183,
casa1,202603240950,23.6,1,0,1,1380,192,
casa1,202603240955,23.2,1,1,0,1399,230,
casa1,202603241000,23.4,1,0,1,1418,232,
casa1,202603241005,23.0,1,1,0,1432,167,
casa1,202603241010,24.0,1,1,0,1447,182,
casa1,202603241015,24.7,0,0,1,1453,65,
casa1,202603241020,25.5,1,0,0,1463,121,
casa1,202603241025,26.4,0,1,1,1472,111,
casa1,202603241030,27.3,0,1,0,1477,62,
casa1,202603241035,27.9,1,1,0,1487,123,
casa1,202603241040,28.3,1,0,0,1505,207,
casa1,202603241045,29.0,0,1,1,1509,55,
casa1,202603241050,29.8,0,0,0,1512,34,
casa1,202603241055,30.4,1,1,0,1525,159,
casa1,202603241100,30.6,0,0,1,1530,56,
casa1,202603241105,31.2,1,1,1,1544,164,
casa1,202603241110,31.1,1,0,1,1549,62,
casa1,202603241115,30.9,0,1,0,1561,140,
casa1,202603241120,31.4,0,1,0,1569,106,
casa1,202603241125,32.3,0,1,1,1582,152,
casa1,202603241130,33.2,1,0,1,1591,109,
casa1,202603241135,34.0,1,1,1,1602,128,
casa1,202603241140,34.4,1,1,1,1610,100,
casa1,202603241145,35.3,0,0,1,1619,102,
casa1,202603241150,35.8,1,1,0,1626,83,
casa1,202603241155,35.8,1,0,1,1646,241,
casa1,202603241200,35.4,0,1,0,1665,237,
casa1,202603241205,-999.0,-999,-999,1,1667,24,"luce1, luce2, temperatura"
casa1,202603241210,35.5,0,0,0,1681,166,
casa1,202603241215,35.8,0,1,1,1684,39,
casa1,202603241220,36.2,0,1,1,1687,36,
casa1,202603241225,37.2,1,1,0,1705,210,
casa1,202603241230,36.9,1,1,0,1713,94,
casa1,202603241235,37.6,0,0,0,1723,125,
casa1,202603241240,38.3,1,1,1,1740,206,
casa1,202603241245,38.3,1,0,1,1758,208,
casa1,202603241250,38.6,0,0,1,1772,166,
casa1,202603241255,38.9,0,1,0,1785,165,
casa1,202603241300,39.0,1,1,0,1789,45,
casa1,202603241305,39.1,1,0,1,1795,70,
casa1,202603241310,39.0,0,1,1,1804,114,
casa1,202603241315,39.9,0,0,0,1807,31,
casa1,202603241320,39.5,1,1,1,1818,136,
casa1,202603241325,39.3,0,0,1,1822,44,
casa1,202603241330,39.2,0,0,1,1831,113,
casa1,202603241335,39.4,0,1,0,1849,213,
casa1,202603241340,39.5,1,1,1,1867,213,
casa1,202603241345,39.7,0,1,1,1883,189,
casa1,202603241350,40.0,0,0,0,1899,197,
casa1,202603241355,40.0,1,0,1,1903,49,
casa1,202603241400,39.8,1,1,0,1921,219,
casa1,202603241405,39.8,0,0,0,1927,62,
casa1,202603241410,-999.0,1,1,1,1944,210,temperatura
casa1,202603241415,40.0,1,1,1,1962,210,
casa1,202603241420,39.9,1,1,1,1973,137,
casa1,202603241425,40.0,0,1,1,1986,162,
casa1,202603241430,40.0,1,0,1,1998,135,
casa1,202603241435,39.7,0,0,1,2014,197,
casa1,202603241440,39.3,0,1,0,2033,225,
casa1,202603241445,39.1,1,1,0,2040,83,
casa1,202603241450,39.9,1,0,1,2049,108,
casa1,202603241455,39.7,1,0,0,2066,201,
casa1,202603241500,40.0,0,0,0,2085,233,
casa1,202603241505,39.8,1,0,1,2101,198,
casa1,202603241510,40.0,0,1,1,2118,201,
casa1,202603241515,40.0,0,1,1,2125,79,
casa1,202603241520,40.0,1,0,1,2129,55,
casa1,202603241525,39.7,0,1,0,2141,134,
casa1,202603241530,39.7,0,0,1,2157,203,
casa1,202603241535,39.9,0,1,1,2175,211,
casa1,202603241540,40.0,0,0,0,2184,105,
casa1,202603241545,39.7,1,1,0,2204,243,
casa1,202603241550,39.7,0,0,1,2210,71,
casa1,202603241555,-999.0,-999,-999,-999,2218,99,"luce3, luce2, luce1, temperatura"
casa1,202603241600,40.0,1,1,1,2235,198,
casa1,202603241605,39.6,1,0,1,2239,50,
casa1,202603241610,40.0,1,0,1,2246,82,
casa1,202603241615,39.8,0,1,0,2249,41,
casa1,202603241620,40.0,1,1,1,2266,200,
casa1,202603241625,40.0,0,1,0,2268,25,
casa1,202603241630,40.0,1,0,0,2278,124,
casa1,202603241635,39.7,1,0,0,2286,99,
casa1,202603241640,39.7,0,1,1,2291,50,
casa1,202603241645,40.0,1,1,0,2307,193,
casa1,202603241650,39.9,1,0,1,2320,154,
casa1,202603241655,40.0,0,0,1,2338,221,
casa1,202603241700,40.0,1,1,1,2347,105,
casa1,202603241705,39.8,1,1,0,2364,208,
casa1,202603241710,40.0,0,1,1,2379,178,
casa1,202603241715,39.7,0,1,1,2396,204,
casa1,202603241720,39.9,0,0,0,2403,85,
casa1,202603241725,39.8,0,1,0,2411,91,
casa1,202603241730,40.0,1,1,0,2422,132,
casa1,202603241735,40.0,0,1,0,2440,220,
casa1,202603241740,40.0,0,0,1,2455,181,
casa1,202603241745,40.0,1,0,0,2457,28,
casa1,202603241750,40.0,0,0,0,2470,157,
casa1,202603241755,40.0,1,0,0,2482,144,
casa1,202603241800,39.7,0,1,1,2495,150,
casa1,202603241805,40.0,1,0,0,2501,68,
casa1,202603241810,40.0,0,1,0,2507,82,
casa1,202603241815,40.0,0,0,0,2522,176,
casa1,202603241820,40.0,0,0,0,2536,165,
casa1,202603241825,40.0,0,1,1,2547,136,
casa1,202603241830,40.0,0,1,0,2566,222,
casa1,202603241835,40.0,0,1,1,2586,245,
casa1,202603241840,40.0,1,1,0,2594,93,
casa1,202603241845,40.0,1,1,0,2602,104,
casa1,202603241850,39.8,0,0,1,2605,36,
casa1,202603241855,39.5,1,1,0,2624,224,
casa1,202603241900,39.1,0,-999,0,2636,140,luce2
casa1,202603241905,39.9,1,1,1,2641,59,
casa1,202603241910,40.0,1,0,1,2652,138,
casa1,202603241915,40.0,1,1,1,2663,127,
